,Lift,Toilets,Water Tap,Electricity,Attached Bathroom,Water Harvesting,Cable Connection,Assessment Number
14114,No,Yes,Yes,Yes,No,No,No,1086292383
14115,No,No,Yes,Yes,No,No,No,1086292398
14116,No,No,Yes,Yes,No,No,No,1086292420
14117,No,No,Yes,Yes,No,No,No,1086292477
14118,No,No,Yes,Yes,No,No,No,1086292606
14119,No,No,Yes,Yes,No,No,No,1086292610
14120,No,No,Yes,Yes,No,No,No,1086292649
14121,No,No,Yes,Yes,No,No,No,1086292748
14122,No,No,Yes,Yes,No,No,No,1086292795
14123,No,No,Yes,Yes,No,No,No,1086292807
14124,No,No,Yes,Yes,No,No,No,1086292837
14125,No,No,Yes,Yes,No,No,No,1086292832
14126,No,No,Yes,Yes,No,No,No,1086292891
14127,No,No,Yes,Yes,No,No,No,1086292923
14128,No,No,Yes,Yes,No,No,No,1086292945
14129,No,No,Yes,Yes,No,No,No,1086292949
14130,No,No,Yes,Yes,No,No,No,1086293042
14131,No,No,Yes,Yes,No,No,No,1086293308
14132,No,No,Yes,Yes,No,No,No,1086293398
14133,No,No,Yes,Yes,No,No,No,1086293444
14134,No,No,Yes,Yes,No,No,No,1086293461
14135,No,No,Yes,Yes,No,No,No,1086293468
14136,No,No,Yes,Yes,No,No,No,1086293801
14137,No,No,Yes,Yes,No,No,No,1086293473
14138,No,No,Yes,Yes,No,No,No,1086293487
14139,No,No,Yes,Yes,No,No,No,1086293529
14140,No,No,Yes,Yes,No,No,No,1086293530
14141,No,No,Yes,Yes,No,No,No,1086293617
14142,No,No,Yes,Yes,No,No,No,1086293531
14143,No,No,Yes,Yes,No,No,No,1086293588
14144,No,No,Yes,Yes,No,No,No,1086293704
14145,No,No,Yes,Yes,No,No,No,1086295028
14146,No,No,Yes,Yes,No,No,No,1086294443
14147,No,No,Yes,Yes,No,No,No,1086294446
14148,No,No,Yes,Yes,No,No,No,1086294447
14149,No,No,Yes,Yes,No,No,No,1086294451
14150,No,No,Yes,Yes,No,No,No,1086294587
14151,No,No,Yes,Yes,No,No,No,1086294660
14152,No,No,Yes,Yes,No,No,No,1086294676
14153,No,No,Yes,Yes,No,No,No,1086294700
14154,No,No,Yes,Yes,No,No,No,1086294732
14155,No,Yes,Yes,Yes,No,No,No,1086294750
14156,No,No,Yes,Yes,No,No,No,1086294826
14157,No,No,Yes,Yes,No,No,No,1086294801
14158,No,No,Yes,Yes,No,No,No,1086294857
14159,No,No,Yes,Yes,No,No,No,1086294858
14160,No,No,Yes,Yes,No,No,No,1086294878
14161,No,No,Yes,Yes,No,No,No,1086294916
14162,No,No,Yes,Yes,No,No,No,1086294951
14163,No,No,Yes,Yes,No,No,No,1086294981
14164,No,Yes,Yes,Yes,Yes,No,No,1086295076
14165,No,No,Yes,Yes,No,No,No,1086295159
14166,No,No,Yes,Yes,No,No,No,1086295347
14167,No,No,Yes,Yes,No,No,No,1086295450
14168,No,No,Yes,Yes,No,No,No,1086295497
14169,No,No,Yes,Yes,No,No,No,1086346048
14170,No,No,No,No,No,No,No,1086460794
14171,No,No,No,No,No,No,No,1086460809
14172,No,No,No,No,No,No,No,1086460819
14173,No,No,No,No,No,No,No,1086460829
14174,No,No,No,No,No,No,No,1086460890
14175,No,No,No,No,No,No,No,1086460931
14176,No,Yes,No,Yes,No,No,No,1086494336
14177,No,No,No,Yes,No,No,No,1086501166
14178,No,No,No,No,No,No,No,1086513225
14179,No,No,No,No,No,No,No,1086509287
14180,No,Yes,No,No,No,No,No,1086520975
14181,No,Yes,No,Yes,Yes,No,No,1086521389
14182,No,No,Yes,Yes,No,No,No,1086297064
14183,No,Yes,No,Yes,No,No,Yes,1086538551
14184,No,Yes,No,Yes,No,No,Yes,1086539031
14185,No,Yes,No,Yes,Yes,No,No,1086546597
14186,No,No,No,No,No,No,No,1086546931
14187,No,No,No,No,No,No,No,1086546932
14188,No,No,Yes,Yes,No,No,No,1086298070
14189,No,No,Yes,Yes,No,No,No,1086295541
14190,No,No,Yes,Yes,No,No,No,1086295574
14191,No,No,Yes,Yes,No,No,No,1086295570
14192,No,Yes,Yes,Yes,Yes,No,Yes,1086295573
14193,No,No,Yes,Yes,No,No,No,1086295579
14194,No,No,Yes,Yes,No,No,No,1086295589
14195,No,No,No,No,No,No,No,1086461031
14196,No,No,Yes,Yes,No,No,No,1086295635
14197,No,No,Yes,Yes,No,No,No,1086295673
14198,No,No,Yes,Yes,No,No,No,1086295647
14199,No,No,Yes,Yes,No,No,No,1086295652
14200,No,No,Yes,Yes,No,No,No,1086295653
14201,No,No,Yes,Yes,No,No,No,1086295657
14202,No,No,Yes,Yes,No,No,No,1086295668
14203,No,No,Yes,Yes,No,No,No,1086295698
14204,No,No,Yes,Yes,No,No,No,1086295706
14205,No,No,Yes,Yes,No,No,No,1086295712
14206,No,No,Yes,Yes,No,No,No,1086295713
14207,No,No,Yes,Yes,No,No,No,1086295738
14208,No,No,Yes,Yes,No,No,No,1086295742
14209,No,No,Yes,Yes,No,No,No,1086295748
