,Lift,Toilets,Water Tap,Electricity,Attached Bathroom,Water Harvesting,cable connection,Assessment Number
0,No,No,Yes,Yes,No,No,No,1086295924
0,No,Yes,Yes,Yes,Yes,No,No,1086295934
0,No,No,Yes,Yes,No,No,No,1086295944
0,No,No,Yes,Yes,No,No,No,1086295954
0,No,No,Yes,Yes,No,No,No,1086295969
0,No,No,Yes,Yes,No,No,No,1086295974
0,No,No,Yes,Yes,No,No,No,1086295979
0,No,No,Yes,Yes,No,No,No,1086295984
0,No,No,Yes,Yes,No,No,No,1086295989
0,No,No,Yes,Yes,No,No,No,1086295997
0,No,No,Yes,Yes,No,No,No,1086296002
0,No,No,Yes,Yes,No,No,No,1086296003
0,No,No,Yes,Yes,No,No,No,1086296009
0,No,No,Yes,Yes,No,No,No,1086296023
0,No,No,Yes,Yes,No,No,No,1086296043
0,No,No,Yes,Yes,No,No,No,1086296037
0,No,No,Yes,Yes,No,No,No,1086296052
0,No,No,Yes,Yes,No,No,No,1086296063
0,No,No,Yes,Yes,No,No,No,1086296065
0,No,No,Yes,Yes,No,No,No,1086296095
0,No,No,Yes,Yes,No,No,No,1086296120
0,No,No,Yes,Yes,No,No,No,1086296126
0,No,No,Yes,Yes,No,No,No,1086296304
0,No,Yes,Yes,Yes,No,No,Yes,1086296158
0,No,No,Yes,Yes,No,No,No,1086296222
0,No,No,Yes,Yes,No,No,No,1086296227
0,No,No,Yes,Yes,No,No,No,1086296240
0,No,No,Yes,Yes,No,No,No,1086296279
0,No,No,Yes,Yes,No,No,No,1086296255
0,No,No,Yes,Yes,No,No,No,1086296276
0,No,No,Yes,Yes,No,No,No,1086296301
0,No,No,Yes,Yes,No,No,No,1086296315
0,No,No,Yes,Yes,No,No,No,1086296463
0,No,Yes,Yes,Yes,Yes,No,Yes,1086296323
0,No,No,No,No,No,No,No,1086461088
0,No,No,Yes,Yes,No,No,No,1086301275
0,No,No,Yes,Yes,No,No,No,1086296389
0,No,No,Yes,Yes,No,No,No,1086296392
0,No,No,Yes,Yes,No,No,No,1086296397
0,No,No,Yes,Yes,No,No,No,1086296403
0,No,No,Yes,Yes,No,No,No,1086296407
0,No,No,Yes,Yes,No,No,No,1086296411
0,No,No,Yes,Yes,No,No,No,1086296422
0,No,No,Yes,Yes,No,No,No,1086296428
0,No,No,Yes,Yes,No,No,No,1086296430
0,No,No,Yes,Yes,No,No,No,1086296433
0,No,No,Yes,Yes,No,No,No,1086296435
0,No,No,Yes,Yes,No,No,No,1086296439
0,No,No,Yes,Yes,No,No,No,1086318164
0,No,No,Yes,Yes,No,No,No,1086296461
0,No,Yes,Yes,Yes,Yes,No,No,1086296467
0,No,No,Yes,Yes,No,No,No,1086297318
0,No,No,Yes,Yes,No,No,No,1086296471
0,No,No,Yes,Yes,No,No,No,1086296479
0,No,No,Yes,Yes,No,No,No,1086296496
0,No,No,Yes,Yes,No,No,No,1086296504
0,No,No,Yes,Yes,No,No,No,1086296540
0,No,No,Yes,Yes,No,No,No,1086296544
0,No,Yes,Yes,Yes,No,Yes,Yes,1086296680
0,No,No,Yes,Yes,No,No,No,1086296665
0,No,No,Yes,Yes,No,No,No,1086296725
0,No,Yes,Yes,Yes,No,No,Yes,1086296683
0,No,No,Yes,Yes,No,No,No,1086296703
0,No,No,Yes,Yes,No,No,No,1086296705
0,No,No,Yes,Yes,No,No,No,1086297028
0,No,No,Yes,Yes,No,No,No,1086297037
0,No,No,Yes,Yes,No,No,No,1086297043
0,No,No,Yes,Yes,No,No,No,1086297204
0,No,No,Yes,Yes,No,No,No,1086297070
0,No,No,Yes,Yes,No,No,No,1086297076
0,No,No,Yes,Yes,No,No,No,1086297100
0,No,No,Yes,Yes,No,No,No,1086298613
0,No,No,Yes,Yes,No,No,No,1086297305
0,No,No,Yes,Yes,No,No,No,1086297341
0,No,No,Yes,Yes,No,No,No,1086297265
0,No,No,Yes,Yes,No,No,No,1086297350
0,No,No,Yes,Yes,No,No,No,1086297237
0,No,No,Yes,Yes,No,No,No,1086297240
0,No,No,Yes,Yes,No,No,No,1086297275
0,No,No,Yes,Yes,No,No,No,1086297245
0,No,No,Yes,Yes,No,No,No,1086297248
0,No,No,Yes,Yes,No,No,No,1086297254
0,No,No,Yes,Yes,No,No,No,1086297256
0,No,No,Yes,Yes,No,No,No,1086297293
0,No,No,Yes,Yes,No,No,No,1086297299
0,No,No,Yes,Yes,No,No,No,1086298793
0,No,No,Yes,Yes,No,No,No,1086297314
0,No,No,Yes,Yes,No,No,No,1086297374
0,No,No,Yes,Yes,No,No,No,1086297344
0,No,No,Yes,Yes,No,No,No,1086297338
0,No,No,Yes,Yes,No,No,No,1086297386
0,No,No,Yes,Yes,No,No,No,1086297371
0,No,No,Yes,Yes,No,No,No,1086297392
0,No,No,Yes,Yes,No,No,No,1086297398
0,No,No,Yes,Yes,No,No,No,1086297401
0,No,No,Yes,Yes,No,No,No,1086297413
0,No,No,Yes,Yes,No,No,No,1086297446
0,No,No,Yes,Yes,No,No,No,1086297449
0,No,No,Yes,Yes,No,No,No,1086299299
0,No,No,Yes,Yes,No,No,No,1086297476
0,No,No,Yes,Yes,No,No,No,1086297488
0,No,No,Yes,Yes,No,No,No,1086297800
0,No,No,Yes,Yes,No,No,No,1086297506
0,No,No,Yes,Yes,No,No,No,1086297512
0,No,No,Yes,Yes,No,No,No,1086297521
0,No,No,Yes,Yes,No,No,No,1086297524
0,No,No,Yes,Yes,No,No,No,1086297527
0,No,No,Yes,Yes,No,No,No,1086298483
0,No,No,Yes,Yes,No,No,No,1086297586
0,No,No,Yes,Yes,No,No,No,1086297596
0,No,No,Yes,Yes,No,No,No,1086297617
0,No,No,Yes,Yes,No,No,No,1086297620
0,No,No,Yes,Yes,No,No,No,1086297622
0,No,Yes,Yes,Yes,No,No,No,1086297672
0,No,No,Yes,Yes,No,No,No,1086297680
0,No,No,Yes,Yes,No,No,No,1086297904
0,No,Yes,Yes,Yes,Yes,No,Yes,1086297695
0,No,Yes,Yes,Yes,No,No,No,1086297720
0,No,No,Yes,Yes,No,No,No,1086297724
0,No,No,Yes,Yes,No,No,No,1086297729
0,No,No,Yes,Yes,No,No,No,1086297733
0,No,No,Yes,Yes,No,No,No,1086297741
0,No,No,Yes,Yes,No,No,No,1086297750
0,No,No,Yes,Yes,No,No,No,1086297756
0,No,No,Yes,Yes,No,No,No,1086297758
0,No,No,Yes,Yes,No,No,No,1086297765
0,No,No,Yes,Yes,No,No,No,1086297824
0,No,No,Yes,Yes,No,No,No,1086298870
0,No,No,Yes,Yes,No,No,No,1086297770
0,No,No,Yes,Yes,No,No,No,1086297790
0,No,No,Yes,Yes,No,No,No,1086297814
0,No,No,Yes,Yes,No,No,No,1086297832
0,No,No,Yes,Yes,No,No,No,1086297822
0,No,No,Yes,Yes,No,No,No,1086297872
0,No,No,Yes,Yes,No,No,No,1086297840
